date,rank
20-Aug-16,1
27-Aug-16,1
3-Sep-16,1
10-Sep-16,1
17-Sep-16,1
24-Sep-16,1
1-Oct-16,2
8-Oct-16,1
15-Oct-16,1
22-Oct-16,1
29-Oct-16,1
5-Nov-16,2
12-Nov-16,2
19-Nov-16,1
26-Nov-16,1
3-Dec-16,1
10-Dec-16,1
17-Dec-16,1
24-Dec-16,1
31-Dec-16,1
7-Jan-17,1
14-Jan-17,1
21-Jan-17,1
28-Jan-17,1
4-Feb-17,1
11-Feb-17,2
18-Feb-17,1
25-Feb-17,1
4-Mar-17,1
11-Mar-17,1
18-Mar-17,1
25-Mar-17,1
1-Apr-17,1
8-Apr-17,1
15-Apr-17,1
22-Apr-17,1
29-Apr-17,1
6-May-17,2
13-May-17,2
20-May-17,2
27-May-17,2
3-Jun-17,2
10-Jun-17,3
17-Jun-17,2
24-Jun-17,2
1-Jul-17,2
8-Jul-17,1
15-Jul-17,2
22-Jul-17,2
29-Jul-17,1
5-Aug-17,1
12-Aug-17,1
19-Aug-17,1
26-Aug-17,1
2-Sep-17,2
9-Sep-17,3
16-Sep-17,3
23-Sep-17,2
30-Sep-17,2
7-Oct-17,1
14-Oct-17,2
21-Oct-17,1
28-Oct-17,1
4-Nov-17,1
11-Nov-17,2
18-Nov-17,2
25-Nov-17,2
2-Dec-17,2
9-Dec-17,2
16-Dec-17,2
23-Dec-17,2
30-Dec-17,3
6-Jan-18,3
13-Jan-18,3
20-Jan-18,3
27-Jan-18,3
3-Feb-18,3
10-Feb-18,3
17-Feb-18,3
24-Feb-18,3
3-Mar-18,3
10-Mar-18,3
17-Mar-18,3
24-Mar-18,3
31-Mar-18,3
7-Apr-18,3
14-Apr-18,3
21-Apr-18,3
28-Apr-18,3
5-May-18,5
12-May-18,5
19-May-18,5
26-May-18,5
2-Jun-18,4
9-Jun-18,4
16-Jun-18,4
23-Jun-18,6
30-Jun-18,3
7-Jul-18,1
14-Jul-18,1
21-Jul-18,1
28-Jul-18,1
4-Aug-18,1
11-Aug-18,1
18-Aug-18,1
25-Aug-18,2
1-Sep-18,3
8-Sep-18,3
15-Sep-18,3
